                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.8281,                 2.0966,                 1.6261,                0.93726,                 0.3445,                0.38545,                 0.2836,                0.14365,                0.30817,                0.39983,                0.29251,                0.10838,                 1.8402,                 2.3169,                 2.4546,                0.92155,             0.00058972,             0.00058972,             0.00058972
                     61,                 1.7314,                 2.0847,                 1.4055,                0.90799,                0.46335,                0.41081,                0.34037,                0.15479,                0.47737,                 0.3943,                0.33778,                 0.1246,                 1.8179,                 2.2508,                  2.334,                0.92062,              0.0005856,              0.0005856,              0.0005856
                     62,                  1.618,                 2.0074,                 1.6462,                0.92527,                0.47498,                0.35345,                0.34666,                0.15665,                0.51307,                0.33492,                0.35245,                0.14204,                 1.8615,                 2.2694,                 2.3749,                0.93884,             0.00058148,             0.00058148,             0.00058148
                     63,                 1.7987,                  2.117,                 1.6254,                0.93265,                0.57814,                0.28438,                0.38225,                0.17337,                0.55014,                0.27109,                0.35509,                0.14967,                 1.8393,                 2.2459,                 2.3325,                0.93795,             0.00057735,             0.00057735,             0.00057735
                     64,                 1.7914,                 2.1517,                 1.6014,                0.91834,                0.54813,                0.30582,                 0.4002,                0.18335,                0.49561,                0.29426,                0.36184,                0.15075,                 1.8234,                 2.2054,                 2.1508,                0.92898,             0.00057323,             0.00057323,             0.00057323
                     65,                 1.6974,                 2.0073,                  1.421,                0.92459,                0.56891,                0.32598,                0.40215,                0.17308,                0.50728,                0.29655,                0.36584,                0.15374,                 1.8408,                 2.2403,                 2.0978,                0.92839,             0.00056911,             0.00056911,             0.00056911
                     66,                 1.7378,                 2.0318,                 1.4399,                0.92125,                0.41228,                0.32467,                0.29433,                0.15458,                0.59868,                0.26583,                 0.3655,                0.13552,                 1.8388,                 2.2918,                 2.1248,                0.92537,             0.00056498,             0.00056498,             0.00056498
                     67,                 1.7419,                 2.0975,                 1.4459,                0.90218,                0.40606,                0.32602,                0.28469,                0.14537,                0.65395,                0.23282,                0.35579,                0.13481,                  1.851,                 2.3391,                 2.2894,                0.92829,             0.00056086,             0.00056086,             0.00056086
                     68,                 1.8326,                  2.315,                 1.3462,                 0.9006,                0.40772,                0.37244,                0.30202,                0.14393,                0.40954,                0.37874,                0.33767,                 0.1289,                 1.8453,                 2.2633,                 2.5034,                0.92623,             0.00055674,             0.00055674,             0.00055674
                     69,                  1.878,                 2.2163,                  1.474,                0.91226,                0.36755,                0.44433,                0.32833,                0.15249,                0.34439,                0.41197,                0.31805,                0.13098,                 1.8134,                 2.2281,                 2.5222,                0.91709,             0.00055261,             0.00055261,             0.00055261
                     70,                 1.7196,                 2.0896,                 1.5176,                0.90545,                0.34454,                0.45391,                0.33447,                0.16208,                0.37698,                0.38105,                0.32282,                0.13868,                 1.7956,                 2.2085,                 2.3164,                0.91555,             0.00054849,             0.00054849,             0.00054849
                     71,                 1.6982,                 1.9714,                 1.6106,                0.91515,                0.39551,                0.37022,                0.35738,                0.16457,                  0.422,                  0.338,                0.35293,                0.14856,                  1.811,                 2.2681,                 2.0438,                0.92303,             0.00054437,             0.00054437,             0.00054437
                     72,                 1.7498,                 1.9372,                 1.4853,                 0.9138,                0.39467,                0.37313,                0.34591,                0.16239,                0.48187,                0.32759,                0.38023,                0.14149,                 1.8153,                 2.3347,                 1.9664,                0.92549,             0.00054024,             0.00054024,             0.00054024
                     73,                 2.0096,                 2.4009,                 1.4215,                0.92062,                0.37217,                 0.3826,                0.36711,                0.16799,                0.84944,                0.22767,                0.38361,                0.14473,                 1.7892,                 2.3321,                   2.01,                 0.9187,             0.00053612,             0.00053612,             0.00053612
                     74,                 1.7741,                 2.0143,                 1.4943,                0.90015,                0.36713,                0.38417,                0.35696,                0.16797,                0.32275,                 0.3919,                0.38423,                0.13438,                   1.79,                 2.3835,                 2.1543,                0.91212,               0.000532,               0.000532,               0.000532
                     75,                   1.63,                 1.9794,                 1.4447,                0.89055,                0.45277,                0.32342,                0.34499,                0.16775,                0.40695,                0.35069,                0.37184,                0.12758,                  1.808,                 2.4014,                 2.2059,                 0.9101,             0.00052787,             0.00052787,             0.00052787
                     76,                 1.8069,                 2.1843,                 1.3472,                0.90781,                0.34186,                0.40183,                0.32255,                0.16533,                0.40928,                0.31847,                0.36348,                0.12917,                 1.7974,                 2.4503,                 2.1997,                0.91249,             0.00052375,             0.00052375,             0.00052375
                     77,                 1.8347,                 2.1488,                 1.4836,                0.90609,                0.33128,                0.37088,                0.30411,                0.15822,                0.43652,                0.30056,                0.34912,                0.12855,                 1.7921,                 2.5235,                 2.1332,                0.91561,             0.00051963,             0.00051963,             0.00051963
                     78,                 1.7678,                   2.11,                 1.4019,                0.91044,                0.31688,                0.40575,                0.31248,                0.16196,                0.39831,                0.33096,                0.35871,                0.12713,                 1.7822,                 2.4693,                 1.9174,                0.91351,              0.0005155,              0.0005155,              0.0005155
                     79,                 2.0122,                 2.4117,                 1.3922,                0.90152,                 0.3049,                0.39612,                 0.3275,                0.16775,                0.43274,                 0.3414,                0.36418,                0.12433,                 1.8059,                  2.435,                 1.8171,                0.91307,             0.00051138,             0.00051138,             0.00051138
                     80,                 1.8189,                 2.2745,                 1.6385,                0.91027,                0.32709,                0.38644,                0.32794,                0.16513,                 0.5086,                0.32284,                0.37757,                0.11826,                  1.817,                  2.482,                 1.7957,                0.91386,             0.00050726,             0.00050726,             0.00050726
                     81,                 1.9034,                 2.2691,                 1.7403,                 0.9095,                   0.31,                0.36403,                0.31442,                0.16261,                0.46281,                0.33045,                0.35781,                0.12028,                 1.7874,                 2.4614,                 1.7701,                0.91416,             0.00050313,             0.00050313,             0.00050313
                     82,                 1.6975,                 2.1031,                 1.3511,                0.91095,                0.29297,                0.35037,                0.30606,                0.16257,                0.48176,                0.32248,                0.35584,                0.12485,                 1.7656,                 2.4361,                 1.7537,                0.91192,             0.00049901,             0.00049901,             0.00049901
                     83,                 1.6456,                 2.0974,                 1.4089,                0.91191,                0.29968,                  0.367,                0.30411,                0.16157,                 0.3618,                0.36866,                 0.3667,                0.14069,                 1.7391,                 2.3405,                 1.7802,                0.91098,             0.00049489,             0.00049489,             0.00049489
                     84,                 1.6417,                 1.8717,                 1.2864,                0.89413,                0.37439,                0.39061,                0.35738,                 0.1583,                0.33693,                0.34902,                0.32294,                 0.1293,                 1.7365,                 2.2508,                 1.8803,                0.90787,             0.00049076,             0.00049076,             0.00049076
                     85,                  1.814,                 2.1401,                 1.4868,                0.91241,                0.34177,                0.38341,                  0.338,                0.15595,                0.28732,                0.31622,                0.28575,                0.11608,                 1.7945,                 2.2125,                 1.9961,                0.90874,             0.00048664,             0.00048664,             0.00048664
                     86,                 1.7399,                 2.1569,                 1.2325,                0.89695,                 0.3179,                0.36832,                 0.3254,                0.15424,                0.30959,                0.30343,                0.27731,                0.11467,                 1.8192,                 2.1982,                 2.0484,                0.91266,             0.00048252,             0.00048252,             0.00048252
                     87,                 1.6759,                 1.9431,                 1.3628,                0.88609,                0.31105,                0.40311,                0.31049,                0.14832,                0.39556,                0.25693,                0.29703,                0.10929,                 1.8014,                 2.2912,                 2.0714,                0.91542,             0.00047839,             0.00047839,             0.00047839
                     88,                 1.6818,                 1.9856,                 1.3858,                0.90705,                0.29727,                0.32228,                0.28514,                0.14925,                0.38744,                0.29072,                0.33391,                0.12637,                 1.7807,                 2.4538,                 2.0391,                0.91938,             0.00047427,             0.00047427,             0.00047427
                     89,                 1.6763,                 2.0669,                 1.2995,                0.90866,                0.32116,                0.32208,                0.30085,                 0.1574,                0.41478,                0.29141,                0.36138,                0.12675,                 1.7721,                 2.4976,                 1.9913,                0.91787,             0.00047015,             0.00047015,             0.00047015
                     90,                  1.677,                 2.0516,                 1.2758,                0.89516,                 0.3364,                0.34385,                0.32146,                0.16621,                0.40948,                0.33689,                 0.3812,                0.13528,                 1.7516,                   2.38,                 1.9202,                0.91501,             0.00046602,             0.00046602,             0.00046602
                     91,                 1.6551,                 1.9761,                 1.4202,                0.91343,                0.32741,                0.34563,                0.32217,                0.17416,                0.42254,                0.32556,                0.38065,                0.14194,                 1.7372,                 2.2944,                 1.8793,                 0.9113,              0.0004619,              0.0004619,              0.0004619
                     92,                 1.6287,                 1.9175,                 1.3517,                0.91675,                0.36314,                0.37077,                0.33877,                0.17448,                0.37436,                0.35528,                0.37687,                0.14162,                 1.7451,                  2.267,                 1.8634,                 0.9135,             0.00045778,             0.00045778,             0.00045778
